First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
150,75,4.0,150 x 75,150 x 75 x 4.0,N/A,N/A,10.7,N/A,150,75,N/A,4.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.363,33.9,301,101,N/A,N/A,4.70,2.72,N/A,N/A,40.1,26.9,N/A,N/A,N/A,56.1,34.4,N/A,N/A,N/A,N/A,N/A,303,60.1,N/A,N/A,N/A,N/A,N/A,13.6
150,75,5.0,150 x 75,150 x 75 x 5.0,N/A,N/A,13.3,N/A,150,75,N/A,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.363,27.3,367,122,N/A,N/A,4.66,2.69,N/A,N/A,48.9,32.5,N/A,N/A,N/A,68.9,42.0,N/A,N/A,N/A,N/A,N/A,367,72.2,N/A,N/A,N/A,N/A,N/A,16.9
150,75,6.3,150 x 75,150 x 75 x 6.3,N/A,N/A,16.5,N/A,150,75,N/A,6.3,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.363,22.0,448,147,N/A,N/A,4.62,2.64,N/A,N/A,59.7,39.1,N/A,N/A,N/A,84.9,51.5,N/A,N/A,N/A,N/A,N/A,443,86.3,N/A,N/A,N/A,N/A,N/A,21.0
200,100,5.0,200 x 100,200 x 100 x 5.0,N/A,N/A,17.9,N/A,200,100,N/A,5.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.484,27.0,897,302,N/A,N/A,6.27,3.64,N/A,N/A,89.7,60.4,N/A,N/A,N/A,125,76.8,N/A,N/A,N/A,N/A,N/A,905,135,N/A,N/A,N/A,N/A,N/A,22.8
200,100,6.3,200 x 100,200 x 100 x 6.3,N/A,N/A,22.3,N/A,200,100,N/A,6.3,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.484,21.7,1100,368,N/A,N/A,6.23,3.60,N/A,N/A,110,73.5,N/A,N/A,N/A,155,94.7,N/A,N/A,N/A,N/A,N/A,1100,163,N/A,N/A,N/A,N/A,N/A,28.4
200,100,8.0,200 x 100,200 x 100 x 8.0,N/A,N/A,28.0,N/A,200,100,N/A,8.0,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.484,17.3,1360,446,N/A,N/A,6.17,3.54,N/A,N/A,136,89.3,N/A,N/A,N/A,193,117,N/A,N/A,N/A,N/A,N/A,1350,197,N/A,N/A,N/A,N/A,N/A,35.7
200,100,10.0,200 x 100,200 x 100 x 10.0,N/A,N/A,34.5,N/A,200,100,N/A,10.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.484,14.0,1640,529,N/A,N/A,6.10,3.47,N/A,N/A,164,106,N/A,N/A,N/A,235,141,N/A,N/A,N/A,N/A,N/A,1610,232,N/A,N/A,N/A,N/A,N/A,44.0
200,100,12.5,200 x 100,200 x 100 x 12.5,N/A,N/A,42.4,N/A,200,100,N/A,12.5,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.484,11.4,1950,619,N/A,N/A,6.02,3.39,N/A,N/A,195,124,N/A,N/A,N/A,284,169,N/A,N/A,N/A,N/A,N/A,1890,269,N/A,N/A,N/A,N/A,N/A,54.0
250,125,6.3,250 x 125,250 x 125 x 6.3,N/A,N/A,28.2,N/A,250,125,N/A,6.3,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.605,21.5,2210,742,N/A,N/A,7.84,4.55,N/A,N/A,176,119,N/A,N/A,N/A,246,151,N/A,N/A,N/A,N/A,N/A,2220,265,N/A,N/A,N/A,N/A,N/A,35.9
250,125,8.0,250 x 125,250 x 125 x 8.0,N/A,N/A,35.4,N/A,250,125,N/A,8.0,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.605,17.1,2730,909,N/A,N/A,7.78,4.49,N/A,N/A,219,145,N/A,N/A,N/A,307,188,N/A,N/A,N/A,N/A,N/A,2730,323,N/A,N/A,N/A,N/A,N/A,45.1
250,125,10.0,250 x 125,250 x 125 x 10.0,N/A,N/A,43.8,N/A,250,125,N/A,10.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.605,13.8,3320,1090,N/A,N/A,7.71,4.42,N/A,N/A,265,174,N/A,N/A,N/A,376,228,N/A,N/A,N/A,N/A,N/A,3290,385,N/A,N/A,N/A,N/A,N/A,55.8
250,125,12.5,250 x 125,250 x 125 x 12.5,N/A,N/A,53.9,N/A,250,125,N/A,12.5,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.605,11.2,4000,1290,N/A,N/A,7.63,4.34,N/A,N/A,320,207,N/A,N/A,N/A,458,276,N/A,N/A,N/A,N/A,N/A,3920,453,N/A,N/A,N/A,N/A,N/A,68.7
300,150,8.0,300 x 150,300 x 150 x 8.0,N/A,N/A,42.8,N/A,300,150,N/A,8.0,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.726,17.0,4810,1620,N/A,N/A,9.39,5.44,N/A,N/A,321,215,N/A,N/A,N/A,449,275,N/A,N/A,N/A,N/A,N/A,4850,481,N/A,N/A,N/A,N/A,N/A,54.5
300,150,10.0,300 x 150,300 x 150 x 10.0,N/A,N/A,53.0,N/A,300,150,N/A,10.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.726,13.7,5870,1950,N/A,N/A,9.32,5.37,N/A,N/A,391,260,N/A,N/A,N/A,551,336,N/A,N/A,N/A,N/A,N/A,5870,577,N/A,N/A,N/A,N/A,N/A,67.5
300,150,12.5,300 x 150,300 x 150 x 12.5,N/A,N/A,65.5,N/A,300,150,N/A,12.5,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.726,11.1,7120,2330,N/A,N/A,9.24,5.29,N/A,N/A,475,311,N/A,N/A,N/A,674,409,N/A,N/A,N/A,N/A,N/A,7050,686,N/A,N/A,N/A,N/A,N/A,83.4
300,150,14.2,300 x 150,300 x 150 x 14.2,N/A,N/A,73.8,N/A,300,150,N/A,14.2,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.726,9.84,7920,2570,N/A,N/A,9.18,5.23,N/A,N/A,528,343,N/A,N/A,N/A,755,456,N/A,N/A,N/A,N/A,N/A,7790,753,N/A,N/A,N/A,N/A,N/A,94.0
300,150,16.0,300 x 150,300 x 150 x 16.0,N/A,N/A,82.5,N/A,300,150,N/A,16.0,16.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.726,8.80,8730,2810,N/A,N/A,9.12,5.17,N/A,N/A,582,374,N/A,N/A,N/A,837,503,N/A,N/A,N/A,N/A,N/A,8530,818,N/A,N/A,N/A,N/A,N/A,105
400,200,8.0,400 x 200,400 x 200 x 8.0,N/A,N/A,57.6,N/A,400,200,N/A,8.0,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.969,16.8,11700,3970,N/A,N/A,12.6,7.35,N/A,N/A,584,397,N/A,N/A,N/A,811,500,N/A,N/A,N/A,N/A,N/A,11900,890,N/A,N/A,N/A,N/A,N/A,73.4
400,200,10.0,400 x 200,400 x 200 x 10.0,N/A,N/A,71.5,N/A,400,200,N/A,10.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.969,13.6,14300,4830,N/A,N/A,12.5,7.28,N/A,N/A,717,483,N/A,N/A,N/A,1000,615,N/A,N/A,N/A,N/A,N/A,14500,1080,N/A,N/A,N/A,N/A,N/A,91.1
400,200,12.5,400 x 200,400 x 200 x 12.5,N/A,N/A,88.6,N/A,400,200,N/A,12.5,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.969,10.9,17500,5840,N/A,N/A,12.5,7.19,N/A,N/A,877,584,N/A,N/A,N/A,1230,753,N/A,N/A,N/A,N/A,N/A,17600,1300,N/A,N/A,N/A,N/A,N/A,113
400,200,14.2,400 x 200,400 x 200 x 14.2,N/A,N/A,100,N/A,400,200,N/A,14.2,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.969,9.69,19600,6490,N/A,N/A,12.4,7.14,N/A,N/A,980,649,N/A,N/A,N/A,1380,843,N/A,N/A,N/A,N/A,N/A,19500,1440,N/A,N/A,N/A,N/A,N/A,127
400,200,16.0,400 x 200,400 x 200 x 16.0,N/A,N/A,112,N/A,400,200,N/A,16.0,16.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.969,8.65,21700,7140,N/A,N/A,12.3,7.07,N/A,N/A,1090,714,N/A,N/A,N/A,1540,936,N/A,N/A,N/A,N/A,N/A,21600,1580,N/A,N/A,N/A,N/A,N/A,143
500,250,10.0,500 x 250,500 x 250 x 10.0,N/A,N/A,90.0,N/A,500,250,N/A,10.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.21,13.4,28500,9680,N/A,N/A,15.8,9.19,N/A,N/A,1140,775,N/A,N/A,N/A,1590,976,N/A,N/A,N/A,N/A,N/A,29000,1740,N/A,N/A,N/A,N/A,N/A,115
500,250,12.5,500 x 250,500 x 250 x 12.5,N/A,N/A,112,N/A,500,250,N/A,12.5,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.21,10.8,35000,11800,N/A,N/A,15.7,9.10,N/A,N/A,1400,943,N/A,N/A,N/A,1960,1200,N/A,N/A,N/A,N/A,N/A,35300,2110,N/A,N/A,N/A,N/A,N/A,142
500,250,14.2,500 x 250,500 x 250 x 14.2,N/A,N/A,126,N/A,500,250,N/A,14.2,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.21,9.60,39300,13200,N/A,N/A,15.6,9.04,N/A,N/A,1570,1050,N/A,N/A,N/A,2200,1350,N/A,N/A,N/A,N/A,N/A,39500,2350,N/A,N/A,N/A,N/A,N/A,161
500,250,16.0,500 x 250,500 x 250 x 16.0,N/A,N/A,142,N/A,500,250,N/A,16.0,16.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.21,8.52,43700,14500,N/A,N/A,15.6,8.98,N/A,N/A,1750,1160,N/A,N/A,N/A,2460,1500,N/A,N/A,N/A,N/A,N/A,43700,2590,N/A,N/A,N/A,N/A,N/A,180
